Winner,Player 1,Player 2,Moves,First Move,Result
X,Human,Bot,5,2,Win
X,Human,Bot,5,2,Win
X,Human,Bot,5,1,Win
X,Human,Bot,5,5,Win
X,Human,Bot,5,5,Win
X,Human,Bot,5,1,Win
X,Human,Bot,9,2,Win
X,Human,Bot,7,3,Win
X,Human,Bot,5,4,Win
X,Human,Bot,9,5,Win
X,Human,Bot,9,6,Win
X,Human,Bot,7,1,Win
N,Bot,Human,9,7,Draw
X,Human,Bot,9,8,Win
O,Bot,Human,6,9,Loss
O,Bot,Human,6,1,Loss
O,Bot,Human,8,7,Loss
X,Human,Bot,5,8,Win
X,Human,Bot,7,2,Win
X,Human,Bot,7,5,Win
X,Human,Bot,5,4,Win
X,Human,Bot,5,5,Win
X,Human,Bot,5,1,Win
X,Human,Bot,5,5,Win
X,Human,Bot,5,5,Win
X,Human,Bot,7,2,Win
X,Human,Bot,5,5,Win
X,Human,Bot,5,5,Win
X,Human,Bot,5,5,Win
X,Human,Bot,5,2,Win
